线路,线路类型,现设计时速,电气化,建成年份,起点,终点,途径站点,,
银兰客运专线-银中段,高速铁路,250,是,2019.12.29,银川,中卫南,银川-中卫,C字头,
长株城际,快速铁路,200,是,2016.12.26,长沙南,株洲西,长沙南-株洲西,,
湘潭城际,快速铁路,200,是,2017.12.26,长沙南,湘潭,长沙南-湘潭,,
太焦铁路,普速铁路,N/A,否,1979.4,太原,焦作,太原-长治北-焦作,,
郑焦城际,快速铁路,200,是,2015.6.26,郑州东,焦作,郑州东-焦作,,
新月铁路,普速铁路,120,是,1905,新乡,焦作,新乡-焦作,月山近似到焦作,
新石铁路,普速铁路,N/A,是,1985,新乡,日照,新乡-菏泽-兖州-日照,菏泽，兖州,
日兰高铁-日曲段,高速铁路,350,是,2019.11.26,日照西,曲阜东,日照西-曲阜东,临沂北,
郑开城际,快速铁路,200,是,2014.12.28,郑州东,宋城路,郑州东-宋城路,,
宝中铁路,普速铁路,N/A,是,1994,宝鸡,中卫,宝鸡-中卫,,
渝怀铁路,普速铁路,120,是,2005.4.6,重庆北,怀化,重庆北-黔江-怀化,贵阳绕行更快，但问题不大,
遂渝铁路,快速铁路,160,是,2009.9.26,遂宁,重庆北,遂宁-重庆北,,
陇海线,普速铁路,140,是,1953.7,兰州,天水,兰州-天水-宝鸡-西安-华山-洛阳-郑州-开封-商丘-徐州-新沂-连云港,,
江门线-深湛线,快速铁路,200,是,2018.7.1,广州南,湛江西,广州南-茂名-湛江西,合并两条线，深圳-江门未修建完,
黎湛线,普速铁路,N/A,是,1956,南宁,湛江,南宁-茂名-湛江,折线,
黔常铁路,快速铁路,200,是,2019.12.25,黔江,常德,黔江-张家界西-常德,电气化未拆分,
石长线-北延,普速铁路,160,是,1998.10.1,长沙,宜昌东,长沙-常德-宜昌东,,
韩原铁路,快速铁路,160,是,2014.2.25,大同南,原平西,大同南-原平西,大西高速线北延一部分,
京原铁路,普速铁路,80,否,1972.12.31,北京,原平,北京-原平,,
水蚌线,普速铁路,120,是,1941,蚌埠,淮南,蚌埠-淮南,,
邯济铁路,普速铁路,140,是,2014.12.30,邯郸,大明湖,邯郸-聊城-大明湖,,
黎湛线-广茂线,普速铁路,120,否,1991,广州,南宁,广州-南宁,,
阳安线,普速铁路,N/A,是,1972.2,阳平关,安康,广元-汉中-安康,阳平关近似到广元,
西康线,普速铁路,160,是,2013.10.31,西安,安康,西安-安康,,
呼鄂线,快速铁路,160,是,2018.4.10,呼和浩特,鄂尔多斯,呼和浩特-鄂尔多斯,,
吉衡线,普速铁路,160,是,2014.7.1,吉安,衡阳,吉安-衡阳,,
赣瑞龙线-龙漳线,快速铁路,200,是,2015.12.26,赣州,厦门北,赣州-厦门北,三明、漳州，忽略旧线,
通让线-平齐线,普速铁路,N/A,否,1966.12,通辽,白城,通辽-白城,忽略太平川，组合,
京港高铁-合湖段,高速铁路,350,是,2020.6.28,商丘,合肥南,合肥南-芜湖-宣城-杭州南,省略湖州,
万凉线,快速铁路,120,是,2010.12.22,万州,利川,万州-利川,,
邕北铁路-防城港支线,快速铁路,250,是,2013.12.28,南宁东,防城港北,南宁东-防城港北,,
邕北铁路-南支线,快速铁路,250,是,2013.12.28,北海,防城港北,北海-防城港北,,
衢宁铁路,普速铁路,N/A,是,2020.9.27,衢州,宁德,福州-衢州,,
华东二通道,普速铁路,80,否,1994.7.1,合肥,杭州,合肥-芜湖-杭州,淮南铁路-芜宣铁路-宣杭铁路,
